Matricula,Parcial1,Parcial2,Parcial3,Parcial4,Parcial5,Parcial6,Parcial7
1484797,60,70,50,50,70,60,60
1315292,70,60,50,30,70,60,100
1314544,60,80,90,80,40,50,40
1333612,80,100,40,90,50,60,20
1300365,50,70,20,60,70,60,100
1534272,70,80,60,80,40,50,70
1389380,70,60,70,80,60,100,40
1335671,80,70,80,60,80,70,60
1524713,70,90,70,100,90,70,50
1380670,100,60,60,70,70,80,80
1582853,50,80,60,50,60,50,70
1539033,40,80,60,70,80,30,100
1575595,70,40,60,70,80,20,80
1556646,80,40,80,90,70,70,90
1581181,60,80,100,70,60,60,80
1440437,100,60,60,70,80,50,70
1593830,70,30,70,50,30,40,70
1432309,60,80,100,50,70,100,20
1367577,30,100,50,90,80,90,60
1382955,60,100,80,80,40,100,40
1508003,50,50,100,60,60,90,80
1553443,30,100,60,60,60,100,40
1458740,50,50,90,30,30,50,40
1384193,50,90,30,80,80,100,90
1376315,20,100,100,80,70,70,80
1596180,90,80,90,100,50,40,60
1357683,60,80,50,80,30,80,60
1430037,60,100,60,30,50,70,10
1429645,90,40,70,80,50,40,70
